# Simulation	Mass_mult	hmr_mult	delta(t)
1	1.146004	0.843852	0.019740
2	1.057791	0.962804	0.006690
3	1.202508	0.760485	0.044466
5	1.054118	0.874540	0.225744
8	1.263147	0.774742	0.070779
10	1.090935	1.006431	0.012470
11	1.115656	0.124579	0.016748
12	1.171722	0.644423	0.023021
13	1.108617	0.881761	0.010249
18	1.041598	0.919656	0.004981
21	1.118882	0.789371	0.015518
22	1.062262	0.852548	0.008113
23	1.104154	0.614635	0.018844
24	1.160879	0.279670	0.045033
25	1.138478	0.827763	0.021660
26	1.132234	0.835436	0.016543
27	1.277793	0.163554	0.670651
28	1.015094	0.625525	0.766813
29	1.060136	0.806640	0.005963
30	1.151147	0.775932	0.014116
31	1.260011	1.037929	0.144069
32	1.211406	0.739577	0.028153
33	1.213798	1.004305	0.029119
34	1.130983	0.826446	0.021047
35	1.084765	0.764669	0.022513
36	1.191445	0.792749	0.026101
38	1.028886	0.910341	0.005056
39	1.262736	0.496347	0.026316
40	1.145177	0.771054	0.024653
43	1.373345	0.724246	0.424822
46	1.227622	0.989985	0.033524
47	1.147123	0.972225	0.010129
48	1.276804	1.123669	0.096377
51	1.248137	0.888613	0.047987
52	1.092477	0.893619	0.007288
55	1.033404	0.968506	0.004294
58	1.171507	1.339246	0.051867
59	1.165573	0.829558	0.048566
61	1.033807	0.968710	0.004503
63	1.154920	0.839401	0.015985
64	1.152720	2.671296	0.044738
66	1.168608	0.816276	0.013591
68	1.144279	0.828789	0.020699
