# Simulation	Mass_mult	hmr_mult	delta(t)
7	1.195071	0.810173	0.050983
10	1.152060	0.824517	0.012452
13	1.142376	0.807481	0.051155
14	1.062882	0.963124	0.022793
15	1.162872	1.191896	0.009574
16	1.206461	0.711578	0.032425
17	1.101100	0.828739	0.004629
20	1.155075	0.868150	0.007180
21	1.138343	0.866325	0.033684
22	1.192693	0.756106	0.006669
23	1.077363	0.931787	0.013361
31	1.166949	1.463782	0.040465
32	1.021031	1.002522	0.010313
37	1.305671	0.983712	0.009889
43	1.114389	0.889688	0.012008
45	1.287907	0.759745	0.062058
47	1.177396	2.133630	0.019326
48	1.123437	1.444014	0.010711
49	1.147078	0.745942	0.023251
50	1.190999	0.884148	0.011387
51	1.153238	0.992704	0.022187
52	1.149238	0.949784	0.020395
53	1.119478	0.938940	0.016417
56	1.327931	0.875446	0.181002
58	1.152249	0.845256	0.013232
59	1.214564	0.733165	0.026592
61	1.171669	0.980844	0.031555
63	1.083996	0.950967	0.022842
66	1.093684	0.948296	0.256503
75	1.128200	1.014365	0.022865
