# Simulation	Mass_mult	hmr_mult	delta(t)
1	1.129703	0.811595	0.013513
2	1.177614	0.803505	0.025988
5	1.221575	0.769336	0.047659
8	1.182812	0.806543	0.022437
9	1.129769	0.880422	0.016104
11	1.195278	1.116666	0.024796
12	1.243701	2.846267	0.040994
13	1.093102	0.917543	0.006702
14	1.111909	0.897462	0.013542
15	1.028427	1.027666	0.003999
16	1.156908	0.786568	0.028036
17	1.007006	1.015344	0.002954
18	1.176300	0.756742	0.016762
20	1.165302	0.802188	0.023298
21	1.151286	1.086224	0.019345
23	1.096541	0.927013	0.007722
24	1.188328	0.622329	0.044299
25	1.207498	1.010764	0.064800
30	1.165782	0.873478	0.032306
31	1.042970	0.995129	0.006082
32	1.146977	0.896498	0.025185
35	1.186286	0.841446	0.063933
36	1.107882	0.989097	0.009466
37	1.294537	0.746239	0.081638
38	1.117427	0.970665	0.011253
39	1.067736	0.935281	0.009120
40	1.275122	0.884177	0.039819
41	1.275104	0.748166	0.061407
42	1.074698	0.970765	0.007413
43	1.324917	0.764289	0.065274
44	1.173167	0.820124	0.036240
45	1.199394	0.787738	0.030440
46	1.128921	0.773618	0.017550
48	1.215204	0.910303	0.035680
49	1.165000	0.739244	0.029377
50	1.230538	0.790485	0.034836
51	1.212658	0.798024	0.020299
53	1.255936	1.521252	0.036160
54	1.211090	1.175628	0.049379
55	1.081847	1.020217	0.012072
56	1.160156	1.026443	0.015673
57	1.210293	1.419198	0.039119
58	1.182760	0.842036	0.040552
59	1.196485	0.972089	0.040388
64	1.169468	1.010554	0.024711
65	1.261491	0.835570	0.040097
66	1.172506	1.013757	0.011347
67	1.247275	0.978429	0.088338
68	1.230469	0.982823	0.042484
69	1.229357	0.848036	0.019902
70	1.305822	2.054764	0.150577
71	1.278678	0.756087	0.042123
72	1.116803	0.846666	0.008123
73	1.238427	0.718640	0.030524
76	1.258360	0.708340	0.056431
77	1.233250	0.841217	0.065312
78	1.247924	0.643422	0.057541
79	1.228561	0.744984	0.043557
80	1.190753	0.764003	0.031077
81	1.148649	0.829350	0.017461
82	1.289140	1.347298	0.045150
83	1.157789	1.120697	0.012952
84	1.246506	0.791950	0.043578
85	1.188059	0.700712	0.031320
86	1.183376	0.897961	0.017277
87	1.268790	1.928816	0.035585
88	1.123282	0.856364	0.012370
89	1.131658	0.962135	0.007869
90	1.179858	0.704632	0.025188
91	1.199816	0.829075	0.039495
92	1.038047	0.953617	0.004649
93	1.189640	0.796778	0.026105
94	1.145082	1.065919	0.018479
95	1.177741	0.837768	0.030580
96	1.174050	0.707717	0.029835
97	1.152833	0.917277	0.017411
99	1.109322	0.830698	0.007089
101	1.113004	0.861188	0.014582
102	1.116851	1.031662	0.009503
103	1.051916	1.035051	0.004658
104	1.203105	1.085200	0.025921
105	1.197729	0.744262	0.036615
106	1.166423	0.990993	0.030276
107	1.179093	1.139473	0.021373
109	1.086163	0.950409	0.005401
110	1.214075	0.865347	0.036372
111	1.240048	0.848335	0.040331
112	1.179371	0.954663	0.039184
113	1.094653	0.912681	0.010739
115	1.199817	0.850100	0.024644
116	1.097839	0.902428	0.011804
117	1.121055	0.971650	0.012570
119	1.262255	1.626658	0.040931
120	1.201019	0.828786	0.019212
121	1.171037	0.916569	0.012750
122	1.107037	1.462065	0.014191
123	1.178488	1.592792	0.070328
124	1.220465	0.790901	0.028449
125	1.314065	0.698375	0.062658
126	1.263716	0.724797	0.041009
127	1.096652	1.507483	0.015784
128	1.152833	1.460239	0.055276
129	1.213696	0.768861	0.040048
130	1.263429	0.858911	0.099233
132	1.134347	1.495677	0.013516
133	1.315363	1.979859	0.082455
134	1.119815	0.992184	0.009427
135	1.266119	0.835969	0.074815
136	1.126354	1.354000	0.015749
137	1.152348	0.898875	0.009086
139	1.104122	0.983935	0.007615
140	1.163119	0.797010	0.023372
141	1.210955	0.754551	0.022191
142	1.229042	0.842761	0.033866
143	1.197880	1.042004	0.022066
144	1.133324	3.233308	0.030737
145	1.119626	0.782274	0.009824
146	1.102307	0.918018	0.009533
147	1.078602	0.835063	0.009430
148	1.210286	0.836428	0.036951
149	1.179122	0.787293	0.026050
150	1.237792	1.658751	0.021146
153	1.068231	1.001034	0.006664
154	1.124518	0.983582	0.011883
157	1.176131	0.958449	0.029278
158	1.267017	2.678963	0.038082
159	1.218520	0.743705	0.037816
160	1.203627	1.221753	0.035732
161	1.209862	0.889048	0.035782
163	1.136160	1.032101	0.013581
164	1.109216	0.913131	0.008895
165	0.999988	2.007710	0.029845
167	1.280290	0.648627	0.059098
168	1.212197	0.775146	0.036107
171	1.141121	0.950141	0.011699
176	1.146561	0.870626	0.016264
177	1.344933	0.687572	0.101514
178	1.278146	0.759550	0.047656
179	1.213513	1.429627	0.043718
181	1.160309	1.545988	0.026233
182	1.212575	1.162853	0.038480
183	1.176731	1.494782	0.032940
184	1.155950	0.856050	0.015300
185	1.169896	1.035339	0.016526
186	1.128983	0.856689	0.012432
187	1.071301	0.906030	0.006146
188	1.090956	0.996442	0.006414
191	1.096596	0.888965	0.010743
196	1.133172	1.828931	0.016900
197	1.145502	0.792507	0.016500
198	1.151034	0.992131	0.024673
199	1.153769	0.855006	0.019233
201	1.151766	0.897255	0.009597
203	1.090733	0.842749	0.008111
204	1.238176	1.000363	0.039554
205	1.162531	0.842208	0.033128
