Distance from Tangos Halo	x	y	z	vx	vy	vz	Mean [Fe/H]	Mean Tform	Total Stellar Mass	Half-light radius	Simulation	Output Number	Tangos Halo ID	Internal ID	Count ID	Mask Out
kpc	kpc	kpc	kpc	km s**-1	km s**-1	km s**-1	dec	Myr	log10(msol)	pc	N/A	N/A	N/A	N/A	N/A	N/A
0.143674063	-0.108544	4.22E-05	0.094129883	-7.702165598	-5.836938684	-3.553056855	-1.93693443	737.6700257	3.90145906	4.574676966	Halo383_Massive	17	0	1	1	0
0.090497231	-0.066660031	0.03070913	0.052944673	-0.655374297	-9.504790975	2.114037291	-2.066523588	725.1952078	3.808254202	3.044725935	Halo383_Massive	17	0	2	2	0
0.179921736	0.175700197	0.00961881	0.037533321	3.261379042	1.705671327	3.263240059	-2.064150387	583.7521059	4.361136564	2.880181751	Halo383_Massive	14	2	5	5	0
0.42274485	-0.317482909	-0.273373645	0.056432797	11.26863246	11.24216042	7.794344098	-1.715927312	834.9725881	3.816854979	3.037093279	Halo383_Massive	19	0	8	8	0
0.143932146	-0.078895722	-0.115989661	-0.032223069	-5.564630357	-6.931831499	10.9399655	-1.54414357	735.0795863	3.556856871	5.317506563	Halo383_Massive	17	0	9	9	0
0.286446066	-0.068451584	0.249157329	-0.123638	3.679166233	-2.137907348	-11.02784622	-1.594562372	963.6819846	3.749021276	12.57367292	Halo383_Massive	21	1	11	11	0
0.394850696	-0.170430557	0.352106256	-0.053681297	-0.243408446	7.30883555	-13.12991637	-1.681702765	947.4836843	4.145319882	41.43227494	Halo383_Massive	21	1	12	12	0
0.286382686	-0.079520584	-0.220198382	-0.164936933	9.844229107	-6.273058437	2.549155325	-1.542919587	981.7750031	3.960466955	4.861533973	Halo383_Massive	21	1	13	13	0
0.032249044	0.030922239	-0.00225667	0.008872621	-3.35601171	9.991996766	10.82773777	-1.495122021	974.9351996	3.762684743	2.813549839	Halo383_Massive	21	1	14	14	0
0.250813589	-0.248106635	0.01208519	-0.034705941	15.4473638	-5.282157817	5.244607439	-1.546115956	984.4785144	3.680063338	2.005461493	Halo383_Massive	21	1	15	15	0
0.179565071	0.003017901	-0.176477507	0.033018121	-10.04216784	-5.635365314	5.016719423	-2.010373918	723.1474108	4.014747432	2.850727309	Halo383_Massive	17	0	16	16	0
0.695631931	-0.160615752	-0.562156975	-0.376942832	5.967232537	-0.834565785	16.53023976	-1.601704614	1001.710533	3.623678136	1.727815913	Halo383_Massive	22	1	17	17	0
0.15611825	-0.026315791	-0.127557661	-0.086078048	13.3086803	4.544732013	28.68188829	-1.690479509	987.9029494	3.691170011	1.928676892	Halo383_Massive	22	1	18	18	0
0.063810133	-0.01626631	-0.061231817	0.007602946	-6.608232067	-5.228833448	9.68561271	-1.770400457	727.8853835	4.380537602	2.467275052	Halo383_Massive	17	0	20	20	0
0.067960589	0.018641227	0.055125709	-0.035104166	8.955544976	6.172076315	34.0078606	-1.638054313	1063.431429	3.533153255	15.38370163	Halo383_Massive	23	1	21	21	0
1.449442004	0.781811924	1.001701938	0.697313033	-12.93400286	-10.60416467	-0.766756886	-1.814914478	1075.054746	3.895701814	5.55330654	Halo383_Massive	23	1	23	23	0
0.512109032	0.282117333	0.183157969	0.386158813	4.312646798	-5.655183735	24.10089029	-1.697672649	1038.477847	3.802526417	1.340238561	Halo383_Massive	23	1	24	24	0
0.488935012	0.167015561	0.352133408	0.295237721	4.739337479	18.50687645	-1.257981732	-1.538468743	1017.976466	4.01225273	10.65914829	Halo383_Massive	23	1	25	25	0
0.663776582	-0.551726501	-0.291540307	-0.226277415	-0.631416483	1.84347871	2.776202404	-1.652986235	1153.758801	3.791296436	5.632378423	Halo383_Massive	25	1	30	30	0
0.436337819	-0.267120452	-0.295213017	-0.17856828	-5.781229678	-0.520793502	1.144725	-1.550969584	1179.983331	3.81418455	4.782687248	Halo383_Massive	25	1	31	31	0
0.325028238	0.030069078	0.23803041	0.219273187	2.505041018	-4.36627372	-1.350341527	-1.694288466	1160.879814	3.730532998	10.18968939	Halo383_Massive	25	0	32	32	0
0.35629046	0.10466342	-0.280949287	-0.192499243	-13.90440259	-5.097803547	-12.14495881	-1.867379384	1122.1324	3.805159605	3.848720439	Halo383_Massive	25	0	35	35	0
0.504246072	-0.046203189	0.215783769	0.453394675	3.120320573	-1.831274801	-15.67913331	-1.721550247	1300.000548	3.805290541	7.174670907	Halo383_Massive	27	0	36	36	0
0.364354512	0.354480366	0.005410371	-0.084075013	-9.372988836	21.75634158	-2.270212238	-1.683104128	1227.827925	3.745221973	4.408348559	Halo383_Massive	27	1	37	37	0
0.252156435	-0.116058351	-0.211538228	-0.07324551	-15.26748038	-6.610500404	-5.495357727	-1.703751501	1071.524027	3.930936202	6.200305494	Halo383_Massive	23	1	38	38	0
0.321113071	-0.292601336	0.014977074	-0.131429638	-2.84581207	-24.29733672	10.01083693	-1.68579576	1202.341163	3.802244103	5.14542907	Halo383_Massive	26	0	39	39	0
0.489143512	0.001833267	-0.488940966	-0.013955147	0.592964432	12.25346505	2.750157028	-1.592940793	1269.647329	3.833211949	3.923696841	Halo383_Massive	27	1	40	40	0
0.456061513	-0.35711248	-0.264151516	-0.10337677	2.206128114	25.12019366	4.793452619	-1.498031097	1021.369558	3.695526874	4.960630965	Halo383_Massive	23	1	41	41	0
1.076167802	0.287911922	-0.7894268	-0.672346034	4.837669671	22.21707885	31.68282467	-1.628877324	1536.72961	3.918378085	4.255913902	Halo383_Massive	31	0	42	42	0
0.268481779	-0.021122354	0.195538318	0.182759618	9.461153106	-4.019095908	0.752726806	-1.544800254	1244.192339	3.672006764	4.247542913	Halo383_Massive	27	1	43	43	0
2.242176748	0.409105004	-1.821492772	-1.24183483	-10.5015753	-2.207709226	-2.750368202	-1.580405696	1549.58512	3.632186254	7.265253788	Halo383_Massive	32	0	44	44	0
2.447457633	0.43773842	-2.016749508	-1.315733774	-19.21068347	-8.133928116	-1.772086833	-1.620292492	1555.385178	3.851968845	4.429702391	Halo383_Massive	32	0	45	45	0
3.341716819	-2.906580742	-0.174880781	-1.639596415	16.84994455	2.891234794	36.40520193	-1.94205611	1526.592465	3.870943581	2.012531417	Halo383_Massive	31	0	46	46	0
4.006724366	-0.511554618	3.869744816	0.904006128	22.14715032	-46.3684427	-17.63945621	-1.623557982	1550.145149	3.828017749	17.97549556	Halo383_Massive	32	0	48	48	0
4.023591444	-0.559211369	3.872019621	0.940231252	20.58627631	-45.6989868	-17.10731995	-1.60135426	1556.448354	3.682512645	6.331913305	Halo383_Massive	32	0	49	49	0
0.771393015	0.421886145	0.582849053	-0.27811193	3.722028068	-26.62657447	-26.24719341	-1.530873817	1625.779468	3.96187561	4.12849722	Halo383_Massive	33	0	50	50	0
0.893437146	0.397762308	0.78414362	-0.158536629	7.42725727	-19.35474603	-25.3963284	-1.501287844	1640.316472	3.653797097	4.546423476	Halo383_Massive	33	0	51	51	0
0.687967866	0.305165333	0.518223269	-0.33409362	-4.00246361	-31.21238578	-2.899162324	-1.442535421	1624.45452	3.645621045	26.2863091	Halo383_Massive	33	0	53	53	0
0.417075857	0.295778706	0.070888411	0.285380555	15.88831684	-31.82853092	1.282297948	-1.531098324	1611.235953	3.891060457	20.50260668	Halo383_Massive	33	0	54	54	0
0.602637705	-0.160163951	-0.482300092	-0.323892472	-7.531124012	-30.7739502	-25.13424861	-1.751395223	1199.38927	3.879766595	16.58629707	Halo383_Massive	26	0	55	55	0
0.974309724	0.619526469	0.749482628	0.061173391	9.659424894	-0.842724994	18.32484196	-1.631771497	1090.82285	3.518691338	10.33592874	Halo383_Massive	24	1	56	56	0
0.299958829	-0.046826278	-0.037722769	0.293870025	10.71886756	-37.10549985	16.84548271	-1.511350111	1621.495696	3.709879439	26.62326735	Halo383_Massive	33	0	57	57	0
0.437770196	0.208958279	0.336157942	-0.187021443	-7.884491806	-37.16721548	4.739125707	-1.463577541	1620.063064	3.713444506	6.129216432	Halo383_Massive	33	0	58	58	0
0.356050632	0.176402926	0.27102394	-0.148996928	-7.945474914	-38.04850863	7.887318308	-1.464085216	1620.226887	3.871729515	15.37074962	Halo383_Massive	33	0	59	59	0
0.325952652	0.098895632	-0.010880036	0.310397182	14.69959175	-34.19094237	12.62937006	-1.484445919	1635.90392	3.765756991	14.62265474	Halo383_Massive	33	0	64	64	0
0.522981508	0.250945198	0.403427633	-0.218591652	-6.981010079	-36.02036118	2.242559012	-1.466234941	1620.518091	3.848063401	4.783176441	Halo383_Massive	33	0	65	65	0
0.127858523	-0.106507919	0.004533495	0.07059258	8.426178197	-20.98255535	25.85717589	-1.478005871	1665.144429	3.981813257	12.40984627	Halo383_Massive	34	0	66	66	0
0.545613559	-0.095562147	-0.486106918	0.228609045	10.27322082	-14.65871092	4.564391934	-1.616209983	1221.127921	3.543664392	8.678728282	Halo383_Massive	27	1	67	67	0
1.218540207	-0.145990561	-1.180436684	-0.264756922	-0.965434795	6.426518016	3.705973393	-1.381403907	1702.45209	3.634770186	10.8615196	Halo383_Massive	35	0	68	68	0
1.291110666	-0.108412265	-1.285697893	-0.046845056	26.52760238	-13.25402963	0.860359959	-1.361415223	1725.034526	3.75958779	7.79754681	Halo383_Massive	35	0	69	69	0
1.430495698	-0.246658909	-1.408448567	-0.041832511	19.76450702	-10.87473089	0.794217697	-1.47790367	1594.358911	3.873074525	23.86156757	Halo383_Massive	35	0	70	70	0
1.511404107	-0.155036776	-1.431615637	-0.459110706	-10.11419359	-5.622235613	10.75995201	-1.447488463	1702.812609	3.575636752	6.281847732	Halo383_Massive	35	0	71	71	0
0.712203256	0.256746529	0.397801776	-0.53204177	-5.885595193	-20.5169145	4.039592201	-1.431868429	1668.368582	3.911733961	3.757786527	Halo383_Massive	34	0	72	72	0
0.643417621	0.291232216	0.557776106	-0.134372047	7.037842377	-28.38003686	-23.92315798	-1.528004339	1630.091481	3.863690144	3.442210409	Halo383_Massive	33	0	73	73	0
1.512514056	-0.475868695	-1.430149318	-0.126177186	10.27234307	-14.42859264	8.749425809	-1.472462638	1688.505296	3.67528609	4.202024426	Halo383_Massive	35	0	76	76	0
1.13287078	-0.453452108	-1.010930205	-0.236214967	4.878361665	-3.59408649	9.239236684	-1.510812924	1679.623795	3.661445672	7.092034914	Halo383_Massive	35	0	77	77	0
0.851240834	0.370665084	0.637245656	-0.425601137	0.289154031	-3.153276915	-1.891592051	-1.460428877	1687.395035	3.777215831	1.786751974	Halo383_Massive	35	0	78	78	0
0.695489576	0.287237861	0.491609106	-0.399400362	-2.279748525	-6.231587152	-2.37471233	-1.428853957	1701.379248	3.883374954	2.771232452	Halo383_Massive	35	0	79	79	0
0.656178794	0.299380865	0.334008501	-0.478936351	-7.281644961	-7.003935403	-5.419642915	-1.479996953	1713.859181	4.044048157	2.848793754	Halo383_Massive	35	0	80	80	0
0.390361563	0.041837619	-0.020706147	-0.387560342	-0.484767318	-10.85240341	-7.53625036	-1.509490551	1727.475418	4.12215701	3.42647298	Halo383_Massive	35	0	81	81	0
